"subj","condition","countFix_aoi","N","n_target","n_distractor","n_dud","p_target","p_distractor","p_dud","dur_target","dur_distractor","dur_dud"
"sub03",0.3,3,41,21,19,1,0.51219512195122,0.463414634146341,0.024390243902439,0.173017695124838,0.0951790737576391,0.141675900202245
"sub03",0.3,4,3,1,2,0,0.333333333333333,0.666666666666667,0,0.0749811991117895,0.0624940497800708,0
"sub03",0.5,1,281,146,112,23,0.519572953736655,0.398576512455516,0.0818505338078292,0.174252895163117,0.159001404486064,0.130794052115601
"sub03",0.5,2,185,100,82,3,0.540540540540541,0.443243243243243,0.0162162162162162,0.171834089988843,0.195118182906654,0.0527594001032412
"sub03",0.5,3,44,19,19,6,0.431818181818182,0.431818181818182,0.136363636363636,0.113158205254494,0.187716068430362,0.0986035168170928
"sub03",0.5,4,3,1,2,0,0.333333333333333,0.666666666666667,0,0.0583249996416271,0.195844450267032,0
"sub03",0.7,1,283,140,100,43,0.49469964664311,0.353356890459364,0.151943462897526,0.175948577853186,0.155245487997308,0.120736279048372
"sub03",0.7,2,202,105,92,5,0.51980198019802,0.455445544554455,0.0247524752475248,0.159049261902415,0.166754816274118,0.145009920094162
"sub03",0.7,3,44,18,17,9,0.409090909090909,0.386363636363636,0.204545454545455,0.156943900019137,0.132342964739484,0.115747877810564
"sub03",0.7,4,8,3,4,1,0.375,0.5,0.125,0.191673066622267,0.112504950258881,0.283326900098473
"sub03",0.7,5,3,2,1,0,0.666666666666667,0.333333333333333,0,0.158314749831334,0.0249848002567887,0
"sub03",0.7,6,1,0,1,0,0,1,0,0,0.366747699212283,0
"sub03",0.85,1,280,129,86,65,0.460714285714286,0.307142857142857,0.232142857142857,0.190826189159163,0.157167875597817,0.144356733875779
"sub03",0.85,2,196,106,77,13,0.540816326530612,0.392857142857143,0.0663265306122449,0.177671704696105,0.164497994763365,0.137175469086147
"sub03",0.85,3,79,21,25,33,0.265822784810127,0.316455696202532,0.417721518987342,0.15436558086159,0.165666139964014,0.16640840903997
"sub03",0.85,4,20,5,4,11,0.25,0.2,0.55,0.108323640096933,0.164573825080879,0.146215400150554
"sub03",0.85,5,4,2,1,1,0.5,0.25,0.25,0.237480899784714,0.116687700152397,0.133336700033396
"sub03",0.85,6,2,2,0,0,1,0,0,0.0791762000881135,0,0
"sub03",0.95,1,279,142,77,60,0.508960573476703,0.275985663082437,0.21505376344086,0.187266793656229,0.159086464970772,0.154169899962532
"sub03",0.95,2,183,80,62,41,0.437158469945355,0.33879781420765,0.224043715846995,0.154265533824218,0.164382070978923,0.171540319442567
"sub03",0.95,3,73,21,25,27,0.287671232876712,0.342465753424658,0.36986301369863,0.183728319193636,0.172004739977419,0.136724070318181
"sub03",0.95,4,16,7,7,2,0.4375,0.4375,0.125,0.192874043115548,0.186893899925053,0.179200750077144
"sub03",0.95,5,5,3,0,2,0.6,0,0.4,0.174989133297155,0,0.237496999790892
"sub03",0.95,6,1,1,0,0,1,0,0,0.158308399841189,0,0
"sub04",0,1,281,158,123,0,0.562277580071174,0.437722419928826,0,0.235387651907273,0.228318516210803,0
"sub04",0,2,270,142,128,0,0.525925925925926,0.474074074074074,0,0.267485652840163,0.306830610920315,0
"sub04",0,3,216,106,110,0,0.490740740740741,0.509259259259259,0,0.268393414169039,0.28780010091207,0
"sub04",0,4,122,60,62,0,0.491803278688525,0.508196721311475,0,0.266800036661152,0.233603220999113,0
"sub04",0,5,40,20,20,0,0.5,0.5,0,0.208335195054679,0.273752259955654,0
"sub04",0,6,13,6,7,0,0.461538461538462,0.538461538461538,0,0.122213916617814,0.172619700099209,0
"sub04",0,7,5,2,3,0,0.4,0.6,0,0.387514299713075,0.163881533003102,0
"sub04",0,8,2,1,1,0,0.5,0.5,0,0.22498059971258,0.0333270994015038,0
"sub04",0,9,1,0,1,0,0,1,0,0,0.0250062998384237,0
"sub04",0,10,1,0,1,0,0,1,0,0,0.158329700119793,0
"sub04",0,11,1,1,0,0,1,0,0,0.583346100058407,0,0
"sub04",0.3,1,284,103,104,77,0.362676056338028,0.366197183098592,0.27112676056338,0.236077491302796,0.229326805793719,0.165045141617393
"sub04",0.3,2,276,137,136,3,0.496376811594203,0.492753623188406,0.0108695652173913,0.258817801488874,0.261147816186755,0.122215533241009
"sub04",0.3,3,249,127,122,0,0.51004016064257,0.48995983935743,0,0.288120754285762,0.29514837628908,0
"sub04",0.3,4,156,75,81,0,0.480769230769231,0.519230769230769,0,0.247663179957502,0.261108118465837,0
"sub04",0.3,5,55,28,26,1,0.509090909090909,0.472727272727273,0.0181818181818182,0.193161692901153,0.259289780781658,0.0499617992900312
"sub04",0.3,6,14,7,7,0,0.5,0.5,0,0.230948128652277,0.1666679573869,0
"sub04",0.3,7,7,0,7,0,0,1,0,0,0.177375614510051,0
"sub04",0.3,8,3,2,1,0,0.666666666666667,0.333333333333333,0,0.195838049985468,0.150013599544764,0
"sub04",0.3,9,1,1,0,0,1,0,0,0.200001399964094,0,0
"sub04",0.5,1,281,100,100,81,0.355871886120996,0.355871886120996,0.288256227758007,0.230582685014524,0.247416201021115,0.193824017315134
"sub04",0.5,2,274,145,115,14,0.529197080291971,0.41970802919708,0.0510948905109489,0.251491817937168,0.263834895662148,0.14464489985299
"sub04",0.5,3,247,117,125,5,0.473684210526316,0.506072874493927,0.0202429149797571,0.260109194874406,0.289130007209023,0.125011040177196
"sub04",0.5,4,165,71,84,10,0.43030303030303,0.509090909090909,0.0606060606060606,0.261028640866026,0.234322496424284,0.145826500044495
"sub04",0.5,5,75,28,38,9,0.373333333333333,0.506666666666667,0.12,0.258330074866535,0.194518886802191,0.201852822181536
"sub04",0.5,6,21,9,11,1,0.428571428571429,0.523809523809524,0.0476190476190476,0.181491699910516,0.170454463675428,0.0999880000017583
"sub04",0.5,7,3,1,1,1,0.333333333333333,0.333333333333333,0.333333333333333,0.533328799996525,0.200016099959612,0.174956399947405
"sub04",0.7,1,279,99,94,86,0.354838709677419,0.336917562724014,0.308243727598566,0.249070401027719,0.225175514959042,0.196220015079361
"sub04",0.7,2,274,140,110,24,0.510948905109489,0.401459854014599,0.0875912408759124,0.281486137827181,0.282799070009919,0.153477283330479
"sub04",0.7,3,237,103,103,31,0.434599156118143,0.434599156118143,0.130801687763713,0.258251801918112,0.256792823260749,0.192205771028849
"sub04",0.7,4,160,63,59,38,0.39375,0.36875,0.2375,0.226577792052662,0.237000715277075,0.164907834241795
"sub04",0.7,5,75,29,29,17,0.386666666666667,0.386666666666667,0.226666666666667,0.193387527652546,0.210914468896025,0.165688835324973
"sub04",0.7,6,29,12,12,5,0.413793103448276,0.413793103448276,0.172413793103448,0.211104383466591,0.216659591722419,0.189996379843797
"sub04",0.7,7,8,5,2,1,0.625,0.25,0.125,0.183324339985848,0.212492200080306,0.141642799600959
"sub04",0.7,8,5,1,3,1,0.2,0.6,0.2,0.100005600135773,0.227771633304656,0.2083452004008
"sub04",0.7,9,1,0,0,1,0,0,1,0,0,0.333342100027949
"sub04",0.7,10,1,0,1,0,0,1,0,0,0.158370399847627,0
"sub04",0.85,1,282,96,99,87,0.340425531914894,0.351063829787234,0.308510638297872,0.246698082316774,0.240070442479478,0.219445495409443
"sub04",0.85,2,274,132,101,41,0.481751824817518,0.368613138686131,0.14963503649635,0.281938306839782,0.243148572269497,0.217674290166143
"sub04",0.85,3,242,82,94,66,0.338842975206612,0.388429752066116,0.272727272727273,0.271948861012167,0.241397775519216,0.210095165125412
"sub04",0.85,4,174,52,73,49,0.298850574712644,0.419540229885057,0.281609195402299,0.249676940328824,0.247943539683921,0.220575981641875
"sub04",0.85,5,84,35,29,20,0.416666666666667,0.345238095238095,0.238095238095238,0.228094242849121,0.233335531033688,0.217496885095898
"sub04",0.85,6,30,13,14,3,0.433333333333333,0.466666666666667,0.1,0.198716553735162,0.183334528604714,0.144440399778735
"sub04",0.85,7,9,7,2,0,0.777777777777778,0.222222222222222,0,0.21547181409343,0.191668500192464,0
"sub04",0.85,8,3,0,2,1,0,0.666666666666667,0.333333333333333,0,0.0916702495887877,0.299999100156128
"sub04",0.85,9,1,0,1,0,0,1,0,0,0.050041800364852,0
